Model,Accuracy,Precision,Recall,F1,MCC,AUC,Observation
LogisticRegression,0.965,0.9650445632798574,0.965,0.9649863177272501,0.953357167560454,0.9986666666666667,Excellent overall performance; Strong ranking ability (high AUC)
DecisionTree,0.83,0.8318831447022742,0.83,0.830168476083014,0.7738106637983099,0.8866666666666667,Good performance; Good ranking ability (AUC)
KNN,0.5,0.521130101168955,0.5,0.5053550007497376,0.334992867030949,0.7697499999999999,Weak performance
GaussianNB,0.81,0.8113261105197411,0.8099999999999999,0.8104578013732255,0.7468035932115061,0.9505583333333334,Good performance; Strong ranking ability (high AUC)
RandomForest,0.8775,0.8776492432897136,0.8775000000000001,0.8773997148548163,0.8367852196375456,0.9796083333333333,Good performance; Strong ranking ability (high AUC)
XGBoost,0.935,0.9354872176027005,0.935,0.9349819706083786,0.9135008238390745,0.9944583333333333,Excellent overall performance; Strong ranking ability (high AUC)
